site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,occidentalis,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,occidentalis,w,frg,Ligularia.bigelovii,pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
